2001,05/27 1459,05/28 0300,05/31 1400,8,0,9,-52,N,N,2,100 S,420,590,7,2,-42,..., 
2001,07/08 1200,07/09 0200,07/11 0400,0,-12,39,29,Y,...,2,30,400,460,5,2,-38,520,07/05 0354
2001,10/31 1348,10/31 2000,11/02 1200,ns,ns,0,-2,Y,...,2,60 S,330,390,11,2,-106,..., 
2001,11/24 0656,11/24 1400,11/25 2000,0,-6,0,-6,Y,...,2,550 S,720,1040,14,2,-221,1320,11/22 2330 H
2002,03/18 1322,03/19 0500,03/20 1600,0,0,18,0,Y,N,2,160 S,380,470,15,2,-37,667,03/15 2306
2002,03/23 1137,03/24 1200,03/25 2000,0,4,0,2,Y,...,2,70 S,450,500,15,2,-100,625,03/20 1706?
2002,04/17 1107,04/17 1600,04/19 1500,0,0,11,-13,Y,...,1,150 S,480,610,14,2,-127,750,04/15 0350 H
2002,04/19 0835,04/20 0000,04/21 1800,0,-6,12,0,Y,...,1,200 S,500,640,8,2,-149,863,04/17 0826 H
2002,05/23 1050,05/23 2000,05/25 1800,...,...,3,-25,Y,...,2,400 S,590,920,11,2,-109,1323,05/22 0326 H
2002,08/01 0510,08/01 0900,08/01 2300,2,5,3,0,N,...,2,70 S,450,460,12,2,-51,..., 
2002,08/01 2309,08/02 0600,08/04 0200,0,0,3,-29,Y,...,2,60 S,460,520,10,2,-102,500,07/29 1207
2002,09/30 0815,09/30 2000,10/01 1500,0,12,2,-2,Y,...,2,70 S,390,410,23,2,-176,..., 
2003,03/20 0440,03/20 1200,03/20 2200,0,0,0,0,Y,...,1,100 S,650,810,11,2,-64,..., 
2003,06/16 1800,06/17 1000,06/18 0800,0,0,8,0,N,...,3,80,480,540,10,2,-141,650,06/14 0154
2003,08/17 1421,08/18 0100,08/19 1500,0,18,10,-10,Y,...,1,80 S,450,530,18,2,-148,630,08/14 2006 H?
2003,11/20 0803,11/20 1000,11/21 0800,0,8,0,-6,Y,N,2,240 S,580,700,28,2,-422,886,11/18 0850 H
2004,04/03 0900(A),04/03 1400,04/05 1800,0,0,12,-3,Y,N,1,40 S,440,520,15,2,-117,560,dg (03/31 1036)
2004,07/22 1036,07/22 1800,07/24 0800,0,...,-3,-35,Y,...,2,90 S,560,670,11,2,-99,920,07/20 1331 H
2004,07/24 0613,07/24 1400,07/25 1500,...,nc,0,0,Y,N,2,90 S,560,610,20,2,-136,890,07/22 0731
2004,07/26 2249,07/27 0200,07/27 2200,0,10,0,-10,Y,...,1,300 S,870,1000,16,2,-170,1302,07/25 1454 H
2004,08/29 0909(W),08/29 1900,08/30 2200,ns,10,0,0,N,...,1,40 S,390,440,12,2,-129,..., 
2004,11/07 1827,11/07 2200,11/09 1000,0,nc,4,-17,Y,Y,1,140 S,630,720,18,2,-374,720,11/04 2330
2004,11/09 1825(W),11/09 2000,11/11 2300,0,0,0,-36,SEP,...,1,170 S,640,810,14,2,-263,830,11/07 1654 H
2005,05/15 0238,05/15 0600,05/19 0000,0,0,0,-74,Y,N,2,400 S,630,950,15,2,-247,1270,05/13 1712 H
2005,05/20 0300,05/20 0300,05/22 0200,0,20,4,-21,N,...,2,30,430,480,10,2,-83,488,05/16 1350
2005,06/12 0745,06/12 1500,06/13 1300,0,0,0,-6,N,...,2,80,480,510,14,2,-106,650,06/09 1436
2005,06/14 1835,06/15 0500,06/16 0900,nc,0,0,0,Y,N,2,100 S,480,560,9,2,-34,..., 
2005,07/17 0134,07/17 1400,07/18 2300,ns,ns,0,-19,N,...,2,50 S,420,500,8,2,-67,..., 
2005,10/31 0200,10/31 0200,10/31 1900,ns,ns,0,0,N,...,2,20,360,400,11,2,-74,..., 
2005,12/31 0000,12/31 0400,01/01 1700,0,4,9,-6,Y,...,2,30,480,580,8,2,-30,..., 
2006,02/05 2000,02/05 2000,02/06 1200,ns,3,0,0,N,...,2,30,340,360,10,2,-22,..., 
2006,04/13 1141(S),04/13 1500,04/14 0700,0,0,0,2,Y,...,2,120,520,550,18,2,-98,540,04/10 0606?
2006,08/30 2000,08/30 2000,09/01 0700,...,ns,0,-16,Y,...,3,0,400,440,8,2,-35,440,08/26 2057
2006,09/30 0300,09/30 0800,09/30 2000,ns,ns,0,0,N,...,3,90,400,440,15,2,-21,..., 
2006,11/28 1300,11/29 0500,11/30 1000,0,0,...,...,N,...,3,20,420,500,12,2,-66,..., 
2006,12/14 1414,12/14 2200,12/15 1300,0,7,0,7,Y,...,1,320 S,740,900,13,2,-162,1180,12/13 0254 H
2007,01/14 1248,01/14 1200,01/15 0700,ns,ns,...,...,N,...,1,60,360,380,12,2,-18,..., 
2007,11/19 1811,11/19 2300,11/20 1200,-4,0,0,0,Y,...,1,30,460,480,18,2,-59,437,11/15 1806 H?
2008,12/16 1159,12/17 0300,12/17 1400,ns,ns,...,...,N,...,3,30,350,380,9,2,-15,350,12/12 0854?
2009,02/03 2000,02/04 0000,02/04 1600,0,5,...,...,...,...,2,40,360,380,10,2,-42,..., 
2009,10/29 0500,10/29 0500,10/29 2300,ns,ns,...,...,Y,...,3,20,370,390,11,2,0, , 
2010,02/07 1700,02/07 1800,02/08 2200,...,ns,...,...,Y,...,1,20,370,410,9,2,-22,..., 
2010,04/05 0826,04/05 1200,04/06 1400,0,0,...,...,Y,...,1,200,640,790,9,2,-81,910,04/03 1033 H
2010,04/11 1304,04/12 0100,04/12 1500,0,3,...,...,N,...,1,60,410,460,11,2,-67,520,04/08 0454
2010,05/28 0258,05/28 1900,05/29 1700,0,0,...,...,Y,...,2,60,360,390,14,2,-80,500,05/24 1406
2010,08/03 1741,08/04 1000,08/05 0000,0,0,...,...,Y,...,2,140,530,590,9,2,-74,740,08/01 ~09
2010,12/28 0300,12/28 0300,12/28 1500,ns,ns,...,...,N,...,2,0,350,360,10,2,-43,...,...
2011,02/04 1300,02/04 1300,02/04 2000,0,0,...,...,Y,...,2,20,430,470,15,2,-63,...,...
2011,03/29 1602,03/29 2300,03/31 0400,ns,ns,...,...,Y,...,2,50,360,390,12,2,-4,...,...
2011,05/28 0100,05/28 0500,05/28 2100,...,...,...,...,N,...,1,60,510,540,12,2,-80,...,...
2011,09/09 1242,09/10 0300,09/10 1500,...,...,...,...,Y,...,2,150,470,530,14,2,-75,680,09/06 2305
2011,09/17 0343,09/17 1400,09/18 0600,...,...,...,...,N,...,2,70,430,590,11,2,-72,550,09/14 0000
2011,10/06 1200,10/06 1200,10/06 2300,...,...,...,...,N,...,1,10,370,380,11,2,-22,..., 
2011,10/24 1831,10/24 2200,10/25 1600,...,...,0,0,Y,...,2,150,460,510,21,2,-147,..., 
2011,11/07 1500,11/07 1700,11/07 2300,...,...,0,0,N,...,2,20,330,350,10,2,-5,..., 
2011,11/28 2150,11/29 0000,11/29 0800,...,...,0,0,Y,...,3,100,450,510,15,2,-25,670,11/26 0700 H
2012,01/21 0501,01/21 0600,01/22 0800,...,...,...,...,N,...,2,30,320,330,10,2,-8 P,650,01/18 1224
2012,01/22 0611,01/22 2300,01/23 0700,...,...,...,...,Y,...,3,50,450,460,9,2,-69 P,670,01/19 1512 H
2012,02/26 2139,02/27 1900,02/28 1600,...,...,...,...,Y,...,3,80,440,490,13,2,-48 P,..., 
2012,4/23 0320,04/23 1700,04/24 0500,...,...,...,...,...,...,1,60,370,390,13,2,-108 P,..., 
2012,05/16 1600,05/16 1600,05/17 2200,...,...,...,...,Y,...,2,0,370,390,10,2,-41 P,370,05/12 0000 H
2012,06/16 2019,06/16 2300,06/17 1200,...,...,...,...,Y,...,1,80,440,510,28,2,-71 P,770,06/14 1412 H
2012,07/08 0800,07/09 0000,07/09 1400,...,...,...,...,Y,...,2,20,410,450,12,2,-68 P,480,07/04 1724 H
2012,07/14 1809,07/15 0600,07/17 0500,...,...,...,...,...,...,1,220,490,670,16,2,-127 P,850,07/12 1648 H
2012,09/04 2245,09/05 0600,09/05 1800,...,...,...,...,N,...,2,40,500,540,10,2,-68 P,..., 
2012,09/06 0200,09/06 0200,09/06 1500,...,...,...,...,Y,...,1,0,420,420,10,2,-36 P,..., 
2012,09/30 2305,10/01 0000,10/02 0000,...,...,...,...,Y,...,3,70,370,410,14,2,-119 P,590,09/28 0000 H
